Prog_ID,Name,Sets,Reps,Category,Level,Duration_wk,Frequency,Split,Focus,Total_Sessions,Avg_Time_min,Equipment_Needed,Created_Date,Status,Description,Linked_Clients
🔍 FILTER:,Search programs...,,,,,,,,,,,,,,,
PRG001,Hypertrophy Upper/Lower Beginner,3-4,8-12,Strength,Beginner,4,5,Upper/Lower,Hypertrophy,20,45,Full Gym + Cables,2025-05-04,Active,"Beginner 4-week hypertrophy program using upper/lower split. 5x/week, ~45min/session.",#REF!
PRG002,Hypertrophy Upper/Lower Intermediate,3-4,8-12,Strength,Intermediate,12,5,Upper/Lower,Hypertrophy,60,75,Full Gym,2025-03-05,Draft,"Intermediate 12-week hypertrophy program using upper/lower split. 5x/week, ~75min/session.",#REF!
PRG003,Hypertrophy Upper/Lower Advanced,3-4,8-12,Strength,Advanced,16,5,Upper/Lower,Hypertrophy,80,60,Dumbbells Only,2025-01-14,Active,"Advanced 16-week hypertrophy program using upper/lower split. 5x/week, ~60min/session.",#REF!
PRG004,Hypertrophy Push/Pull/Legs Beginner,3-4,8-12,Strength,Beginner,16,6,Push/Pull/Legs,Hypertrophy,96,45,Full Gym,2025-06-24,Draft,"Beginner 16-week hypertrophy program using push/pull/legs split. 6x/week, ~45min/session.",#REF!
PRG005,Hypertrophy Push/Pull/Legs Intermediate,3-4,8-12,Strength,Intermediate,4,3,Push/Pull/Legs,Hypertrophy,12,45,Dumbbells Only,2025-03-26,Active,"Intermediate 4-week hypertrophy program using push/pull/legs split. 3x/week, ~45min/session.",#REF!
PRG006,Hypertrophy Push/Pull/Legs Advanced,3-4,8-12,Strength,Advanced,8,6,Push/Pull/Legs,Hypertrophy,48,90,Minimal,2025-08-27,Active,"Advanced 8-week hypertrophy program using push/pull/legs split. 6x/week, ~90min/session.",#REF!
PRG007,Hypertrophy Bro Split Beginner,3-4,8-12,Strength,Beginner,8,5,Bro Split,Hypertrophy,40,90,Dumbbells Only,2025-10-21,Archived,"Beginner 8-week hypertrophy program using bro split split. 5x/week, ~90min/session.",#REF!
PRG008,Hypertrophy Bro Split Intermediate,3-4,8-12,Strength,Intermediate,16,5,Bro Split,Hypertrophy,80,45,Full Gym + Cables,2025-11-17,Draft,"Intermediate 16-week hypertrophy program using bro split split. 5x/week, ~45min/session.",#REF!
PRG009,Hypertrophy Bro Split Advanced,3-4,8-12,Strength,Advanced,16,6,Bro Split,Hypertrophy,96,90,Minimal,2025-09-02,Archived,"Advanced 16-week hypertrophy program using bro split split. 6x/week, ~90min/session.",#REF!
PRG010,Hypertrophy Full Body Beginner,3-4,8-12,Strength,Beginner,6,3,Full Body,Hypertrophy,18,90,Minimal,2025-03-11,Draft,"Beginner 6-week hypertrophy program using full body split. 3x/week, ~90min/session.",#REF!
PRG011,Hypertrophy Full Body Intermediate,3-4,8-12,Strength,Intermediate,16,6,Full Body,Hypertrophy,96,45,Full Gym + Cables,2025-07-19,Draft,"Intermediate 16-week hypertrophy program using full body split. 6x/week, ~45min/session.",#REF!
PRG012,Hypertrophy Full Body Advanced,3-4,8-12,Strength,Advanced,4,4,Full Body,Hypertrophy,16,45,Minimal,2025-01-12,Active,"Advanced 4-week hypertrophy program using full body split. 4x/week, ~45min/session.",#REF!
PRG013,Strength Upper/Lower Beginner,4-5,3-5,Strength,Beginner,12,3,Upper/Lower,Strength,36,75,Full Gym + Cables,2025-11-24,Active,"Beginner 12-week strength program using upper/lower split. 3x/week, ~75min/session.",#REF!
PRG014,Strength Upper/Lower Intermediate,4-5,3-5,Strength,Intermediate,16,6,Upper/Lower,Strength,96,60,Dumbbells Only,2025-09-15,Draft,"Intermediate 16-week strength program using upper/lower split. 6x/week, ~60min/session.",#REF!
PRG015,Strength Upper/Lower Advanced,4-5,3-5,Strength,Advanced,12,3,Upper/Lower,Strength,36,45,Dumbbells Only,2025-08-07,Active,"Advanced 12-week strength program using upper/lower split. 3x/week, ~45min/session.",#REF!
PRG016,Strength Push/Pull Beginner,4-5,3-5,Strength,Beginner,8,5,Push/Pull,Strength,40,75,Full Gym + Cables,2025-11-14,Active,"Beginner 8-week strength program using push/pull split. 5x/week, ~75min/session.",#REF!
PRG017,Strength Push/Pull Intermediate,4-5,3-5,Strength,Intermediate,4,3,Push/Pull,Strength,12,75,Full Gym,2025-02-14,Active,"Intermediate 4-week strength program using push/pull split. 3x/week, ~75min/session.",#REF!
PRG018,Strength Push/Pull Advanced,4-5,3-5,Strength,Advanced,16,6,Push/Pull,Strength,96,45,Bodyweight,2025-12-21,Draft,"Advanced 16-week strength program using push/pull split. 6x/week, ~45min/session.",#REF!
PRG019,Strength Full Body Beginner,4-5,3-5,Strength,Beginner,4,5,Full Body,Strength,20,75,Full Gym + Cables,2025-01-25,Archived,"Beginner 4-week strength program using full body split. 5x/week, ~75min/session.",#REF!
PRG020,Strength Full Body Intermediate,4-5,3-5,Strength,Intermediate,8,6,Full Body,Strength,48,75,Full Gym,2025-11-21,Active,"Intermediate 8-week strength program using full body split. 6x/week, ~75min/session.",#REF!
PRG021,Strength Full Body Advanced,4-5,3-5,Strength,Advanced,12,3,Full Body,Strength,36,60,Minimal,2025-11-08,Archived,"Advanced 12-week strength program using full body split. 3x/week, ~60min/session.",#REF!
PRG022,Strength Conjugate Beginner,4-5,3-5,Strength,Beginner,4,3,Conjugate,Strength,12,90,Bodyweight,2025-05-05,Archived,"Beginner 4-week strength program using conjugate split. 3x/week, ~90min/session.",#REF!
PRG023,Strength Conjugate Intermediate,4-5,3-5,Strength,Intermediate,8,6,Conjugate,Strength,48,75,Dumbbells Only,2025-09-11,Archived,"Intermediate 8-week strength program using conjugate split. 6x/week, ~75min/session.",#REF!
PRG024,Strength Conjugate Advanced,4-5,3-5,Strength,Advanced,4,4,Conjugate,Strength,16,90,Full Gym + Cables,2025-01-24,Active,"Advanced 4-week strength program using conjugate split. 4x/week, ~90min/session.",#REF!
PRG025,Fat Loss Full Body Beginner,3-4,10-15,Cardio,Beginner,12,3,Full Body,Fat Loss,36,75,Full Gym + Cables,2025-12-24,Archived,"Beginner 12-week fat loss program using full body split. 3x/week, ~75min/session.",#REF!
PRG026,Fat Loss Full Body Intermediate,3-4,10-15,Cardio,Intermediate,12,5,Full Body,Fat Loss,60,90,Full Gym,2025-03-17,Draft,"Intermediate 12-week fat loss program using full body split. 5x/week, ~90min/session.",#REF!
PRG027,Fat Loss Full Body Advanced,3-4,10-15,Cardio,Advanced,16,4,Full Body,Fat Loss,64,75,Bodyweight,2025-02-18,Archived,"Advanced 16-week fat loss program using full body split. 4x/week, ~75min/session.",#REF!
PRG028,Fat Loss Upper/Lower Beginner,3-4,10-15,Cardio,Beginner,8,4,Upper/Lower,Fat Loss,32,75,Full Gym,2025-05-17,Active,"Beginner 8-week fat loss program using upper/lower split. 4x/week, ~75min/session.",#REF!
PRG029,Fat Loss Upper/Lower Intermediate,3-4,10-15,Cardio,Intermediate,6,5,Upper/Lower,Fat Loss,30,75,Full Gym + Cables,2025-01-17,Active,"Intermediate 6-week fat loss program using upper/lower split. 5x/week, ~75min/session.",#REF!
PRG030,Fat Loss Upper/Lower Advanced,3-4,10-15,Cardio,Advanced,6,4,Upper/Lower,Fat Loss,24,45,Dumbbells Only,2025-05-19,Active,"Advanced 6-week fat loss program using upper/lower split. 4x/week, ~45min/session.",#REF!
PRG031,Fat Loss Circuit Beginner,3-4,10-15,Cardio,Beginner,4,5,Circuit,Fat Loss,20,45,Minimal,2025-09-18,Active,"Beginner 4-week fat loss program using circuit split. 5x/week, ~45min/session.",#REF!
PRG032,Fat Loss Circuit Intermediate,3-4,10-15,Cardio,Intermediate,16,4,Circuit,Fat Loss,64,90,Full Gym + Cables,2025-12-13,Active,"Intermediate 16-week fat loss program using circuit split. 4x/week, ~90min/session.",#REF!
PRG033,Fat Loss Circuit Advanced,3-4,10-15,Cardio,Advanced,8,6,Circuit,Fat Loss,48,75,Full Gym + Cables,2025-04-27,Archived,"Advanced 8-week fat loss program using circuit split. 6x/week, ~75min/session.",#REF!
PRG034,Fat Loss HIIT/Strength Beginner,3-4,10-15,Cardio,Beginner,6,3,HIIT/Strength,Fat Loss,18,90,Minimal,2025-12-19,Active,"Beginner 6-week fat loss program using hiit/strength split. 3x/week, ~90min/session.",#REF!
PRG035,Fat Loss HIIT/Strength Intermediate,3-4,10-15,Cardio,Intermediate,4,5,HIIT/Strength,Fat Loss,20,90,Minimal,2025-11-14,Draft,"Intermediate 4-week fat loss program using hiit/strength split. 5x/week, ~90min/session.",#REF!
PRG036,Fat Loss HIIT/Strength Advanced,3-4,10-15,Cardio,Advanced,8,4,HIIT/Strength,Fat Loss,32,90,Minimal,2025-04-27,Active,"Advanced 8-week fat loss program using hiit/strength split. 4x/week, ~90min/session.",#REF!
PRG037,Endurance Full Body Beginner,2-3,15-20,Cardio,Beginner,12,3,Full Body,Endurance,36,90,Full Gym + Cables,2025-09-09,Active,"Beginner 12-week endurance program using full body split. 3x/week, ~90min/session.",#REF!
PRG038,Endurance Full Body Intermediate,2-3,15-20,Cardio,Intermediate,16,6,Full Body,Endurance,96,75,Full Gym,2025-05-04,Draft,"Intermediate 16-week endurance program using full body split. 6x/week, ~75min/session.",#REF!
PRG039,Endurance Full Body Advanced,2-3,15-20,Cardio,Advanced,16,5,Full Body,Endurance,80,45,Full Gym + Cables,2025-01-19,Draft,"Advanced 16-week endurance program using full body split. 5x/week, ~45min/session.",#REF!
PRG040,Endurance Split Beginner,2-3,15-20,Cardio,Beginner,8,3,Split,Endurance,24,90,Bodyweight,2025-12-11,Active,"Beginner 8-week endurance program using split split. 3x/week, ~90min/session.",#REF!
PRG041,Endurance Split Intermediate,2-3,15-20,Cardio,Intermediate,12,5,Split,Endurance,60,90,Bodyweight,2025-10-12,Active,"Intermediate 12-week endurance program using split split. 5x/week, ~90min/session.",#REF!
PRG042,Endurance Split Advanced,2-3,15-20,Cardio,Advanced,12,5,Split,Endurance,60,75,Full Gym,2025-03-04,Active,"Advanced 12-week endurance program using split split. 5x/week, ~75min/session.",#REF!
PRG043,Endurance Triathlon Beginner,2-3,15-20,Cardio,Beginner,12,6,Triathlon,Endurance,72,60,Full Gym + Cables,2025-09-02,Draft,"Beginner 12-week endurance program using triathlon split. 6x/week, ~60min/session.",#REF!
PRG044,Endurance Triathlon Intermediate,2-3,15-20,Cardio,Intermediate,16,4,Triathlon,Endurance,64,75,Minimal,2025-04-20,Active,"Intermediate 16-week endurance program using triathlon split. 4x/week, ~75min/session.",#REF!
PRG045,Endurance Triathlon Advanced,2-3,15-20,Cardio,Advanced,12,5,Triathlon,Endurance,60,45,Minimal,2025-12-13,Active,"Advanced 12-week endurance program using triathlon split. 5x/week, ~45min/session.",#REF!
PRG046,Athletic Upper/Lower Beginner,3-5,6-8,Performance,Beginner,4,5,Upper/Lower,Athletic,20,75,Dumbbells Only,2025-07-12,Draft,"Beginner 4-week athletic program using upper/lower split. 5x/week, ~75min/session.",#REF!
PRG047,Athletic Upper/Lower Intermediate,3-5,6-8,Performance,Intermediate,4,3,Upper/Lower,Athletic,12,90,Dumbbells Only,2025-04-02,Draft,"Intermediate 4-week athletic program using upper/lower split. 3x/week, ~90min/session.",#REF!
PRG048,Athletic Upper/Lower Advanced,3-5,6-8,Performance,Advanced,16,4,Upper/Lower,Athletic,64,60,Minimal,2025-08-15,Active,"Advanced 16-week athletic program using upper/lower split. 4x/week, ~60min/session.",#REF!
PRG049,Athletic Push/Pull Beginner,3-5,6-8,Performance,Beginner,8,3,Push/Pull,Athletic,24,45,Full Gym + Cables,2025-10-18,Archived,"Beginner 8-week athletic program using push/pull split. 3x/week, ~45min/session.",#REF!
PRG050,Athletic Push/Pull Intermediate,3-5,6-8,Performance,Intermediate,8,4,Push/Pull,Athletic,32,45,Full Gym + Cables,2025-07-26,Draft,"Intermediate 8-week athletic program using push/pull split. 4x/week, ~45min/session.",#REF!
PRG051,Athletic Push/Pull Advanced,3-5,6-8,Performance,Advanced,4,3,Push/Pull,Athletic,12,90,Full Gym + Cables,2025-09-12,Active,"Advanced 4-week athletic program using push/pull split. 3x/week, ~90min/session.",#REF!
PRG052,Athletic Sport Specific Beginner,3-5,6-8,Performance,Beginner,12,4,Sport Specific,Athletic,48,60,Dumbbells Only,2025-04-02,Active,"Beginner 12-week athletic program using sport specific split. 4x/week, ~60min/session.",#REF!
PRG053,Athletic Sport Specific Intermediate,3-5,6-8,Performance,Intermediate,6,3,Sport Specific,Athletic,18,90,Full Gym,2025-01-14,Archived,"Intermediate 6-week athletic program using sport specific split. 3x/week, ~90min/session.",#REF!
PRG054,Athletic Sport Specific Advanced,3-5,6-8,Performance,Advanced,8,3,Sport Specific,Athletic,24,45,Dumbbells Only,2025-12-14,Archived,"Advanced 8-week athletic program using sport specific split. 3x/week, ~45min/session.",#REF!
PRG055,Mobility Full Body Beginner,1-2,30s hold,Recovery,Beginner,8,4,Full Body,Mobility,32,75,Full Gym,2025-05-22,Archived,"Beginner 8-week mobility program using full body split. 4x/week, ~75min/session.",#REF!
PRG056,Mobility Full Body Intermediate,1-2,30s hold,Recovery,Intermediate,8,4,Full Body,Mobility,32,45,Minimal,2025-03-15,Active,"Intermediate 8-week mobility program using full body split. 4x/week, ~45min/session.",#REF!
PRG057,Mobility Full Body Advanced,1-2,30s hold,Recovery,Advanced,12,4,Full Body,Mobility,48,90,Full Gym + Cables,2025-09-07,Draft,"Advanced 12-week mobility program using full body split. 4x/week, ~90min/session.",#REF!
PRG058,Mobility Split Beginner,1-2,30s hold,Recovery,Beginner,4,6,Split,Mobility,24,45,Minimal,2025-03-16,Archived,"Beginner 4-week mobility program using split split. 6x/week, ~45min/session.",#REF!
PRG059,Mobility Split Intermediate,1-2,30s hold,Recovery,Intermediate,4,4,Split,Mobility,16,45,Full Gym + Cables,2025-06-18,Archived,"Intermediate 4-week mobility program using split split. 4x/week, ~45min/session.",#REF!
PRG060,Mobility Split Advanced,1-2,30s hold,Recovery,Advanced,4,6,Split,Mobility,24,75,Minimal,2025-06-07,Draft,"Advanced 4-week mobility program using split split. 6x/week, ~75min/session.",#REF!
PRG061,Mobility Flow Beginner,1-2,30s hold,Recovery,Beginner,4,3,Flow,Mobility,12,45,Bodyweight,2025-11-11,Archived,"Beginner 4-week mobility program using flow split. 3x/week, ~45min/session.",#REF!
PRG062,Mobility Flow Intermediate,1-2,30s hold,Recovery,Intermediate,4,4,Flow,Mobility,16,90,Dumbbells Only,2025-07-05,Draft,"Intermediate 4-week mobility program using flow split. 4x/week, ~90min/session.",#REF!
PRG063,Mobility Flow Advanced,1-2,30s hold,Recovery,Advanced,6,3,Flow,Mobility,18,60,Full Gym,2025-06-02,Active,"Advanced 6-week mobility program using flow split. 3x/week, ~60min/session.",#REF!
PRG064,Rehab Full Body Beginner,3,10,Recovery,Beginner,6,4,Full Body,Rehab,24,90,Full Gym + Cables,2025-04-22,Draft,"Beginner 6-week rehab program using full body split. 4x/week, ~90min/session.",#REF!
PRG065,Rehab Full Body Intermediate,3,10,Recovery,Intermediate,4,3,Full Body,Rehab,12,60,Full Gym,2025-08-23,Active,"Intermediate 4-week rehab program using full body split. 3x/week, ~60min/session.",#REF!
PRG066,Rehab Full Body Advanced,3,10,Recovery,Advanced,6,3,Full Body,Rehab,18,75,Full Gym + Cables,2025-04-27,Active,"Advanced 6-week rehab program using full body split. 3x/week, ~75min/session.",#REF!
PRG067,Rehab Isolation Beginner,3,10,Recovery,Beginner,6,6,Isolation,Rehab,36,75,Dumbbells Only,2025-02-22,Active,"Beginner 6-week rehab program using isolation split. 6x/week, ~75min/session.",#REF!
