Ex_ID,Name,Muscle_Group,Sub_Group,Equipment,Difficulty,Type,Sets,Reps,Tempo,Rest_sec,PR_Load,Video_Link,Tags
🔍 FILTER:,Search exercises...,,,,,,,,,,,,
EX001,Bench Press,Chest,Upper,Barbell,Advanced,Functional,3,12-15,3-1-2,45,,https://azfit.com/ex/EX001,"chest, upper, barbell, advanced"
EX002,Incline Press,Chest,Upper,Dumbbell,Advanced,Plyometric,3,6-8,2-0-2,90,,https://azfit.com/ex/EX002,"chest, upper, dumbbell, advanced"
EX003,Decline Press,Chest,Lower,Barbell,Advanced,Isolation,5,12,4-0-1,90,,https://azfit.com/ex/EX003,"chest, lower, barbell, advanced"
EX004,Dumbbell Flye,Chest,Overall,Bodyweight,Beginner,Isolation,5,8,2-1-1,120,,https://azfit.com/ex/EX004,"chest, overall, bodyweight, beginner"
EX005,Cable Crossover,Chest,Lower,Machine,Intermediate,Compound,3,8,2-0-2,120,,https://azfit.com/ex/EX005,"chest, lower, machine, intermediate"
EX006,Push-Up,Chest,Inner,Bodyweight,Beginner,Plyometric,5,8-10,4-0-1,60,,https://azfit.com/ex/EX006,"chest, inner, bodyweight, beginner"
EX007,Dip,Chest,Inner,Kettlebell,Advanced,Isolation,5,8-10,2-0-2,45,,https://azfit.com/ex/EX007,"chest, inner, kettlebell, advanced"
EX008,Pec Deck,Chest,Lower,Bodyweight,Beginner,Isolation,3,8,2-1-1,150,,https://azfit.com/ex/EX008,"chest, lower, bodyweight, beginner"
EX009,Floor Press,Chest,Inner,Cable,Intermediate,Functional,3,15-20,2-0-2,180,,https://azfit.com/ex/EX009,"chest, inner, cable, intermediate"
EX010,Svend Press,Chest,Lower,Machine,Beginner,Plyometric,4,15-20,1-0-1,90,,https://azfit.com/ex/EX010,"chest, lower, machine, beginner"
EX011,Landmine Press,Chest,Inner,Barbell,Beginner,Compound,4,8,2-1-1,60,,https://azfit.com/ex/EX011,"chest, inner, barbell, beginner"
EX012,Incline Dumbbell Press,Chest,Lower,Kettlebell,Beginner,Plyometric,4,10,3-1-2,120,,https://azfit.com/ex/EX012,"chest, lower, kettlebell, beginner"
EX013,Machine Chest Press,Chest,Lower,Machine,Advanced,Functional,5,8,1-0-1,150,,https://azfit.com/ex/EX013,"chest, lower, machine, advanced"
EX014,Wide Grip Bench,Chest,Inner,Machine,Beginner,Plyometric,3,6-8,2-0-2,90,,https://azfit.com/ex/EX014,"chest, inner, machine, beginner"
EX015,Close Grip Bench,Chest,Lower,Resistance Band,Advanced,Compound,4,8,1-0-1,150,,https://azfit.com/ex/EX015,"chest, lower, resistance band, advanced"
EX016,Deadlift,Back,Rhomboids,Barbell,Advanced,Compound,5,12,2-1-1,45,,https://azfit.com/ex/EX016,"back, rhomboids, barbell, advanced"
EX017,Pull-Up,Back,Rhomboids,Dumbbell,Intermediate,Plyometric,3,10,2-0-2,45,,https://azfit.com/ex/EX017,"back, rhomboids, dumbbell, intermediate"
